Item,Condition,NP1,NP2,Coref,Verbclass,List,Experiment,Prompt,Vorher,Box,Nachher
21,1,f,m,NP1,AE,1,4B,"[Julia] lobte Linus.",,Julia, lobte Linus.
21,8,m,f,NP2,AP,1,4B,"Linus befreite [Julia].",Linus befreite ,Julia,.
22,5,f,m,NP2,AE,1,4B,"Sarah belohnte [Benjamin].",Sarah belohnte ,Benjamin,.
22,4,m,f,NP1,AP,1,4B,"[Benjamin] bet&auml;ubte Sarah.",,Benjamin, bet&auml;ubte Sarah.
23,6,m,f,NP2,AE,1,4B,"Florian dankte [Bianca].",Florian dankte ,Bianca,.
23,3,f,m,NP1,AP,1,4B,"[Bianca] ermordete Florian.",,Bianca, ermordete Florian.
24,2,m,f,NP1,AE,1,4B,"[Phillip] bestrafte Valerie.",,Phillip, bestrafte Valerie.
24,7,f,m,NP2,AP,1,4B,"Valerie heilte [Phillip].",Valerie heilte ,Phillip,.
25,1,f,m,NP1,AE,1,4B,"[Isabella] kritisierte Sebastian.",,Isabella, kritisierte Sebastian.
25,8,m,f,NP2,AP,1,4B,"Sebastian rettete [Isabella].",Sebastian rettete ,Isabella,.
26,5,f,m,NP2,AE,1,4B,"Lisa ehrte [Marco].",Lisa ehrte ,Marco,.
26,4,m,f,NP1,AP,1,4B,"[Marco] t&ouml;tete Lisa.",,Marco, t&ouml;tete Lisa.
27,6,m,f,NP2,AE,1,4B,"Markus revanchierte sich bei [Nadine].",Markus revanchierte sich bei ,Nadine,.
27,3,f,m,NP1,AP,1,4B,"[Nadine] &uuml;berlistete Markus.",,Nadine, &uuml;berlistete Markus.
28,2,m,f,NP1,AE,1,4B,"[Peter] r&auml;chte sich an Leonie.",,Peter, r&auml;chte sich an Leonie.
28,7,f,m,NP2,AP,1,4B,"Leonie verf&uuml;hrte [Peter].",Leonie verf&uuml;hrte ,Peter,.
29,1,f,m,NP1,AE,1,4B,"[Margarethe] gratulierte Paul.",,Margarethe, gratulierte Paul.
29,8,m,f,NP2,AP,1,4B,"Paul vergiftete [Margarethe].",Paul vergiftete ,Margarethe,.
30,5,f,m,NP2,AE,1,4B,"Paula zeichnete [Nico] aus.",Paula zeichnete ,Nico, aus.
30,4,m,f,NP1,AP,1,4B,"[Nico] verscheuchte Paula.",,Nico, verscheuchte Paula.
31,6,m,f,NP2,AE,1,4B,"Stephan zog [Annalena] zur Verantwortung.",Stephan zog ,Annalena, zur Verantwortung.
31,3,f,m,NP1,AP,1,4B,"[Annalena] vertrieb Stephan.",,Annalena, vertrieb Stephan.
32,2,m,f,NP1,AE,1,4B,"[Martin] wies Sabrina zurecht.",,Martin, wies Sabrina zurecht.
32,7,f,m,NP2,AP,1,4B,"Sabrina verunglimpfte [Martin].",Sabrina verunglimpfte ,Martin,.
33,1,f,m,NP1,AE,1,4B,"[Hannah] verklagte Jonas.",,Hannah, verklagte Jonas.
33,8,m,f,NP2,AP,1,4B,"Jonas erschlug [Hannah].",Jonas erschlug ,Hannah,.
34,5,f,m,NP2,AE,1,4B,"Madeleine entlie&szlig; [Jonathan].",Madeleine entlie&szlig; ,Jonathan,.
34,4,m,f,NP1,AP,1,4B,"[Jonathan] verjagte Madeleine.",,Jonathan, verjagte Madeleine.
35,6,m,f,NP2,AE,1,4B,"Matthias zeigte [Elena] an.",Matthias zeigte ,Elena, an.
35,3,f,m,NP1,AP,1,4B,"[Elena] &uuml;berredete Matthias.",,Elena, &uuml;berredete Matthias.
36,2,m,f,NP1,AE,1,4B,"[Clemens] schimpfte mit Vera.",,Clemens, schimpfte mit Vera.
36,7,f,m,NP2,AP,1,4B,"Vera beraubte [Clemens].",Vera beraubte ,Clemens,.
37,1,f,m,NP1,AE,1,4B,"[Nicole] feierte Fabian.",,Nicole, feierte Fabian.
37,8,m,f,NP2,AP,1,4B,"Fabian trickste [Nicole] aus.",Fabian trickste ,Nicole, aus.
38,5,f,m,NP2,AE,1,4B,"Ellen bedankte sich bei [Lutz].",Ellen bedankte sich bei ,Lutz,.
38,4,m,f,NP1,AP,1,4B,"[Lutz] grenzte Ellen aus.",,Lutz, grenzte Ellen aus.
39,6,m,f,NP2,AE,1,4B,"Ben r&uuml;gte [Mia].",Ben r&uuml;gte ,Mia,.
39,3,f,m,NP1,AP,1,4B,"[Mia] sperrte Ben aus.",,Mia, sperrte Ben aus.
40,2,m,f,NP1,AE,1,4B,"[Manuel] berichtigte Annika.",,Manuel, berichtigte Annika.
40,7,f,m,NP2,AP,1,4B,"Annika schubste [Manuel] weg.",Annika schubste ,Manuel, weg.
21,2,m,f,NP1,AE,2,4B,"[Linus] lobte Julia.",,Linus, lobte Julia.
21,7,f,m,NP2,AP,2,4B,"Julia befreite [Linus].",Julia befreite ,Linus,.
22,1,f,m,NP1,AE,2,4B,"[Sarah] belohnte Benjamin.",,Sarah, belohnte Benjamin.
22,8,m,f,NP2,AP,2,4B,"Benjamin bet&auml;ubte [Sarah].",Benjamin bet&auml;ubte ,Sarah,.
23,5,f,m,NP2,AE,2,4B,"Bianca dankte [Florian].",Bianca dankte ,Florian,.
23,4,m,f,NP1,AP,2,4B,"[Florian] ermordete Bianca.",,Florian, ermordete Bianca.
24,6,m,f,NP2,AE,2,4B,"Phillip bestrafte [Valerie].",Phillip bestrafte ,Valerie,.
24,3,f,m,NP1,AP,2,4B,"[Valerie] heilte Phillip.",,Valerie, heilte Phillip.
25,2,m,f,NP1,AE,2,4B,"[Sebastian] kritisierte Isabella.",,Sebastian, kritisierte Isabella.
25,7,f,m,NP2,AP,2,4B,"Isabella rettete [Sebastian].",Isabella rettete ,Sebastian,.
26,1,f,m,NP1,AE,2,4B,"[Lisa] ehrte Marco.",,Lisa, ehrte Marco.
26,8,m,f,NP2,AP,2,4B,"Marco t&ouml;tete [Lisa].",Marco t&ouml;tete ,Lisa,.
27,5,f,m,NP2,AE,2,4B,"Nadine revanchierte sich bei [Markus].",Nadine revanchierte sich bei ,Markus,.
27,4,m,f,NP1,AP,2,4B,"[Markus] &uuml;berlistete Nadine.",,Markus, &uuml;berlistete Nadine.
28,6,m,f,NP2,AE,2,4B,"Peter r&auml;chte sich an [Leonie].",Peter r&auml;chte sich an ,Leonie,.
28,3,f,m,NP1,AP,2,4B,"[Leonie] verf&uuml;hrte Peter.",,Leonie, verf&uuml;hrte Peter.
29,2,m,f,NP1,AE,2,4B,"[Paul] gratulierte Margarethe.",,Paul, gratulierte Margarethe.
29,7,f,m,NP2,AP,2,4B,"Margarethe vergiftete [Paul].",Margarethe vergiftete ,Paul,.
30,1,f,m,NP1,AE,2,4B,"[Paula] zeichnete Nico aus.",,Paula, zeichnete Nico aus.
30,8,m,f,NP2,AP,2,4B,"Nico verscheuchte [Paula].",Nico verscheuchte ,Paula,.
31,5,f,m,NP2,AE,2,4B,"Annalena zog [Stephan] zur Verantwortung.",Annalena zog ,Stephan, zur Verantwortung.
31,4,m,f,NP1,AP,2,4B,"[Stephan] vertrieb Annalena.",,Stephan, vertrieb Annalena.
32,6,m,f,NP2,AE,2,4B,"Martin wies [Sabrina] zurecht.",Martin wies ,Sabrina, zurecht.
32,3,f,m,NP1,AP,2,4B,"[Sabrina] verunglimpfte Martin.",,Sabrina, verunglimpfte Martin.
33,2,m,f,NP1,AE,2,4B,"[Jonas] verklagte Hannah.",,Jonas, verklagte Hannah.
33,7,f,m,NP2,AP,2,4B,"Hannah erschlug [Jonas].",Hannah erschlug ,Jonas,.
34,1,f,m,NP1,AE,2,4B,"[Madeleine] entlie&szlig; Jonathan.",,Madeleine, entlie&szlig; Jonathan.
34,8,m,f,NP2,AP,2,4B,"Jonathan verjagte [Madeleine].",Jonathan verjagte ,Madeleine,.
35,5,f,m,NP2,AE,2,4B,"Elena zeigte [Matthias] an.",Elena zeigte ,Matthias, an.
35,4,m,f,NP1,AP,2,4B,"[Matthias] &uuml;berredete Elena.",,Matthias, &uuml;berredete Elena.
36,6,m,f,NP2,AE,2,4B,"Clemens schimpfte mit [Vera].",Clemens schimpfte mit ,Vera,.
36,3,f,m,NP1,AP,2,4B,"[Vera] beraubte Clemens.",,Vera, beraubte Clemens.
37,2,m,f,NP1,AE,2,4B,"[Fabian] feierte Nicole.",,Fabian, feierte Nicole.
37,7,f,m,NP2,AP,2,4B,"Nicole trickste [Fabian] aus.",Nicole trickste ,Fabian, aus.
38,1,f,m,NP1,AE,2,4B,"[Ellen] bedankte sich bei Lutz.",,Ellen, bedankte sich bei Lutz.
38,8,m,f,NP2,AP,2,4B,"Lutz grenzte [Ellen] aus.",Lutz grenzte ,Ellen, aus.
39,5,f,m,NP2,AE,2,4B,"Mia r&uuml;gte [Ben].",Mia r&uuml;gte ,Ben,.
39,4,m,f,NP1,AP,2,4B,"[Ben] sperrte Mia aus.",,Ben, sperrte Mia aus.
40,6,m,f,NP2,AE,2,4B,"Manuel berichtigte [Annika].",Manuel berichtigte ,Annika,.
40,3,f,m,NP1,AP,2,4B,"[Annika] schubste Manuel weg.",,Annika, schubste Manuel weg.
21,6,m,f,NP2,AE,3,4B,"Linus lobte [Julia].",Linus lobte ,Julia,.
21,3,f,m,NP1,AP,3,4B,"[Julia] befreite Linus.",,Julia, befreite Linus.
22,2,m,f,NP1,AE,3,4B,"[Benjamin] belohnte Sarah.",,Benjamin, belohnte Sarah.
22,7,f,m,NP2,AP,3,4B,"Sarah bet&auml;ubte [Benjamin].",Sarah bet&auml;ubte ,Benjamin,.
23,1,f,m,NP1,AE,3,4B,"[Bianca] dankte Florian.",,Bianca, dankte Florian.
23,8,m,f,NP2,AP,3,4B,"Florian ermordete [Bianca].",Florian ermordete ,Bianca,.
24,5,f,m,NP2,AE,3,4B,"Valerie bestrafte [Phillip].",Valerie bestrafte ,Phillip,.
24,4,m,f,NP1,AP,3,4B,"[Phillip] heilte Valerie.",,Phillip, heilte Valerie.
25,6,m,f,NP2,AE,3,4B,"Sebastian kritisierte [Isabella].",Sebastian kritisierte ,Isabella,.
25,3,f,m,NP1,AP,3,4B,"[Isabella] rettete Sebastian.",,Isabella, rettete Sebastian.
26,2,m,f,NP1,AE,3,4B,"[Marco] ehrte Lisa.",,Marco, ehrte Lisa.
26,7,f,m,NP2,AP,3,4B,"Lisa t&ouml;tete [Marco].",Lisa t&ouml;tete ,Marco,.
27,1,f,m,NP1,AE,3,4B,"[Nadine] revanchierte sich bei Markus.",,Nadine, revanchierte sich bei Markus.
27,8,m,f,NP2,AP,3,4B,"Markus &uuml;berlistete [Nadine].",Markus &uuml;berlistete ,Nadine,.
28,5,f,m,NP2,AE,3,4B,"Leonie r&auml;chte sich an [Peter].",Leonie r&auml;chte sich an ,Peter,.
28,4,m,f,NP1,AP,3,4B,"[Peter] verf&uuml;hrte Leonie.",,Peter, verf&uuml;hrte Leonie.
29,6,m,f,NP2,AE,3,4B,"Paul gratulierte [Margarethe].",Paul gratulierte ,Margarethe,.
29,3,f,m,NP1,AP,3,4B,"[Margarethe] vergiftete Paul.",,Margarethe, vergiftete Paul.
30,2,m,f,NP1,AE,3,4B,"[Nico] zeichnete Paula aus.",,Nico, zeichnete Paula aus.
30,7,f,m,NP2,AP,3,4B,"Paula verscheuchte [Nico].",Paula verscheuchte ,Nico,.
31,1,f,m,NP1,AE,3,4B,"[Annalena] zog Stephan zur Verantwortung.",,Annalena, zog Stephan zur Verantwortung.
31,8,m,f,NP2,AP,3,4B,"Stephan vertrieb [Annalena].",Stephan vertrieb ,Annalena,.
32,5,f,m,NP2,AE,3,4B,"Sabrina wies [Martin] zurecht.",Sabrina wies ,Martin, zurecht.
32,4,m,f,NP1,AP,3,4B,"[Martin] verunglimpfte Sabrina.",,Martin, verunglimpfte Sabrina.
33,6,m,f,NP2,AE,3,4B,"Jonas verklagte [Hannah].",Jonas verklagte ,Hannah,.
33,3,f,m,NP1,AP,3,4B,"[Hannah] erschlug Jonas.",,Hannah, erschlug Jonas.
34,2,m,f,NP1,AE,3,4B,"[Jonathan] entlie&szlig; Madeleine.",,Jonathan, entlie&szlig; Madeleine.
34,7,f,m,NP2,AP,3,4B,"Madeleine verjagte [Jonathan].",Madeleine verjagte ,Jonathan,.
35,1,f,m,NP1,AE,3,4B,"[Elena] zeigte Matthias an.",,Elena, zeigte Matthias an.
35,8,m,f,NP2,AP,3,4B,"Matthias &uuml;berredete [Elena].",Matthias &uuml;berredete ,Elena,.
36,5,f,m,NP2,AE,3,4B,"Vera schimpfte mit [Clemens].",Vera schimpfte mit ,Clemens,.
36,4,m,f,NP1,AP,3,4B,"[Clemens] beraubte Vera.",,Clemens, beraubte Vera.
37,6,m,f,NP2,AE,3,4B,"Fabian feierte [Nicole].",Fabian feierte ,Nicole,.
37,3,f,m,NP1,AP,3,4B,"[Nicole] trickste Fabian aus.",,Nicole, trickste Fabian aus.
38,2,m,f,NP1,AE,3,4B,"[Lutz] bedankte sich bei Ellen.",,Lutz, bedankte sich bei Ellen.
38,7,f,m,NP2,AP,3,4B,"Ellen grenzte [Lutz] aus.",Ellen grenzte ,Lutz, aus.
39,1,f,m,NP1,AE,3,4B,"[Mia] r&uuml;gte Ben.",,Mia, r&uuml;gte Ben.
39,8,m,f,NP2,AP,3,4B,"Ben sperrte [Mia] aus.",Ben sperrte ,Mia, aus.
40,5,f,m,NP2,AE,3,4B,"Annika berichtigte [Manuel].",Annika berichtigte ,Manuel,.
40,4,m,f,NP1,AP,3,4B,"[Manuel] schubste Annika weg.",,Manuel, schubste Annika weg.
21,5,f,m,NP2,AE,4,4B,"Julia lobte [Linus].",Julia lobte ,Linus,.
21,4,m,f,NP1,AP,4,4B,"[Linus] befreite Julia.",,Linus, befreite Julia.
22,6,m,f,NP2,AE,4,4B,"Benjamin belohnte [Sarah].",Benjamin belohnte ,Sarah,.
22,3,f,m,NP1,AP,4,4B,"[Sarah] bet&auml;ubte Benjamin.",,Sarah, bet&auml;ubte Benjamin.
23,2,m,f,NP1,AE,4,4B,"[Florian] dankte Bianca.",,Florian, dankte Bianca.
23,7,f,m,NP2,AP,4,4B,"Bianca ermordete [Florian].",Bianca ermordete ,Florian,.
24,1,f,m,NP1,AE,4,4B,"[Valerie] bestrafte Phillip.",,Valerie, bestrafte Phillip.
24,8,m,f,NP2,AP,4,4B,"Phillip heilte [Valerie].",Phillip heilte ,Valerie,.
25,5,f,m,NP2,AE,4,4B,"Isabella kritisierte [Sebastian].",Isabella kritisierte ,Sebastian,.
25,4,m,f,NP1,AP,4,4B,"[Sebastian] rettete Isabella.",,Sebastian, rettete Isabella.
26,6,m,f,NP2,AE,4,4B,"Marco ehrte [Lisa].",Marco ehrte ,Lisa,.
26,3,f,m,NP1,AP,4,4B,"[Lisa] t&ouml;tete Marco.",,Lisa, t&ouml;tete Marco.
27,2,m,f,NP1,AE,4,4B,"[Markus] revanchierte sich bei Nadine.",,Markus, revanchierte sich bei Nadine.
27,7,f,m,NP2,AP,4,4B,"Nadine &uuml;berlistete [Markus].",Nadine &uuml;berlistete ,Markus,.
28,1,f,m,NP1,AE,4,4B,"[Leonie] r&auml;chte sich an Peter.",,Leonie, r&auml;chte sich an Peter.
28,8,m,f,NP2,AP,4,4B,"Peter verf&uuml;hrte [Leonie].",Peter verf&uuml;hrte ,Leonie,.
29,5,f,m,NP2,AE,4,4B,"Margarethe gratulierte [Paul].",Margarethe gratulierte ,Paul,.
29,4,m,f,NP1,AP,4,4B,"[Paul] vergiftete Margarethe.",,Paul, vergiftete Margarethe.
30,6,m,f,NP2,AE,4,4B,"Nico zeichnete [Paula] aus.",Nico zeichnete ,Paula, aus.
30,3,f,m,NP1,AP,4,4B,"[Paula] verscheuchte Nico.",,Paula, verscheuchte Nico.
31,2,m,f,NP1,AE,4,4B,"[Stephan] zog Annalena zur Verantwortung.",,Stephan, zog Annalena zur Verantwortung.
31,7,f,m,NP2,AP,4,4B,"Annalena vertrieb [Stephan].",Annalena vertrieb ,Stephan,.
32,1,f,m,NP1,AE,4,4B,"[Sabrina] wies Martin zurecht.",,Sabrina, wies Martin zurecht.
32,8,m,f,NP2,AP,4,4B,"Martin verunglimpfte [Sabrina].",Martin verunglimpfte ,Sabrina,.
33,5,f,m,NP2,AE,4,4B,"Hannah verklagte [Jonas].",Hannah verklagte ,Jonas,.
33,4,m,f,NP1,AP,4,4B,"[Jonas] erschlug Hannah.",,Jonas, erschlug Hannah.
34,6,m,f,NP2,AE,4,4B,"Jonathan entlie&szlig; [Madeleine].",Jonathan entlie&szlig; ,Madeleine,.
34,3,f,m,NP1,AP,4,4B,"[Madeleine] verjagte Jonathan.",,Madeleine, verjagte Jonathan.
35,2,m,f,NP1,AE,4,4B,"[Matthias] zeigte Elena an.",,Matthias, zeigte Elena an.
35,7,f,m,NP2,AP,4,4B,"Elena &uuml;berredete [Matthias].",Elena &uuml;berredete ,Matthias,.
36,1,f,m,NP1,AE,4,4B,"[Vera] schimpfte mit Clemens.",,Vera, schimpfte mit Clemens.
36,8,m,f,NP2,AP,4,4B,"Clemens beraubte [Vera].",Clemens beraubte ,Vera,.
37,5,f,m,NP2,AE,4,4B,"Nicole feierte [Fabian].",Nicole feierte ,Fabian,.
37,4,m,f,NP1,AP,4,4B,"[Fabian] trickste Nicole aus.",,Fabian, trickste Nicole aus.
38,6,m,f,NP2,AE,4,4B,"Lutz bedankte sich bei [Ellen].",Lutz bedankte sich bei ,Ellen,.
38,3,f,m,NP1,AP,4,4B,"[Ellen] grenzte Lutz aus.",,Ellen, grenzte Lutz aus.
39,2,m,f,NP1,AE,4,4B,"[Ben] r&uuml;gte Mia.",,Ben, r&uuml;gte Mia.
39,7,f,m,NP2,AP,4,4B,"Mia sperrte [Ben] aus.",Mia sperrte ,Ben, aus.
40,1,f,m,NP1,AE,4,4B,"[Annika] berichtigte Manuel.",,Annika, berichtigte Manuel.
40,8,m,f,NP2,AP,4,4B,"Manuel schubste [Annika] weg.",Manuel schubste ,Annika, weg.
